InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Ed Cermak,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901,1
FALSE,FALSE,James Durham,1,15,3,1,0,0,0,0,0,0.0666666666666667,0.0666666666666667,0,0,0,0,0,1,0,1902,2
FALSE,FALSE,Jim Callahan,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,3
FALSE,FALSE,Lou Schiappacasse,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1902,4
FALSE,FALSE,Harry Wood,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903,5
FALSE,FALSE,Chub Aubrey,1,325,26,69,8,2,0,27,7,0.212307692307692,0.249230769230769,0,0,0,0,0,81,0,1903,6
FALSE,FALSE,Gene Curtis,1,19,2,8,1,0,0,3,0,0.421052631578947,0.473684210526316,0,0,0,0,0,9,0,1903,7
FALSE,FALSE,Bert Daly,1,21,2,4,0,2,0,4,0,0.19047619047619,0.380952380952381,0,0,0,0,0,8,0,1903,8
FALSE,FALSE,Pep Clark,1,65,7,20,4,2,0,9,5,0.307692307692308,0.430769230769231,0,0,0,0,0,28,0,1903,9
FALSE,FALSE,Art Bader,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904,10
FALSE,FALSE,Pat Hynes,2,257,23,60,7,3,0,15,3,0.233463035019455,0.284046692607004,0,0,0,0,0,73,0,1904,11
FALSE,FALSE,Bill Schwartz,1,86,5,13,2,0,0,0,4,0.151162790697674,0.174418604651163,0,0,0,0,0,15,0,1904,12
FALSE,FALSE,Tom Stankard,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904,13
FALSE,FALSE,Andy Sullivan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904,14
FALSE,FALSE,Harry Vahrenhorst,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904,15
FALSE,FALSE,Charlie Loudenslager,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904,16
FALSE,FALSE,Mike McCormack,1,347,28,64,5,4,0,27,22,0.184438040345821,0.221902017291066,0,0,0,0,0,77,0,1904,17
FALSE,FALSE,Jesse Purnell,1,19,2,2,0,0,0,1,1,0.105263157894737,0.105263157894737,0,0,0,0,0,2,0,1904,18
FALSE,FALSE,Dutch Rudolph,2,4,0,1,0,0,0,0,0,0.25,0.25,0,0,0,0,0,1,0,1904,19
FALSE,FALSE,Art McGovern,1,44,1,5,1,0,0,1,0,0.113636363636364,0.136363636363636,0,0,0,0,0,6,0,1905,20
FALSE,FALSE,Red Munson,1,26,1,3,1,0,0,2,0,0.115384615384615,0.153846153846154,0,0,0,0,0,4,0,1905,21
FALSE,FALSE,Gerry Shea,1,6,0,2,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,2,0,1905,22
FALSE,FALSE,Jim Wallace,1,29,3,6,1,0,0,3,2,0.206896551724138,0.241379310344828,0,0,0,0,0,7,0,1905,23
FALSE,FALSE,Punch Knoll,1,244,24,52,10,5,0,29,3,0.213114754098361,0.295081967213115,0,0,0,0,0,72,0,1905,24
FALSE,FALSE,Emil Leber,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1905,25
FALSE,FALSE,Charlie Fallon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1905,26
FALSE,FALSE,Steamer Flanagan,1,25,7,7,1,1,0,3,3,0.28,0.4,0,0,0,0,0,10,0,1905,27
FALSE,FALSE,Joe Cassidy,2,1157,130,264,28,23,2,76,40,0.228176318063959,0.297320656871219,0,0,0,0,0,344,0,1905,28
FALSE,FALSE,Phil Cooney,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1905,29
FALSE,FALSE,Ches Crist,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,30
FALSE,FALSE,Harry Armbruster,1,265,40,63,6,3,2,24,13,0.237735849056604,0.305660377358491,0,0,0,0,0,81,0,1906,31
FALSE,FALSE,Jack Cameron,1,61,3,11,0,0,0,4,0,0.180327868852459,0.180327868852459,0,0,0,0,0,11,0,1906,32
FALSE,FALSE,Art Brouthers,1,144,18,30,5,1,0,14,4,0.208333333333333,0.256944444444444,0,0,0,0,0,37,0,1906,33
FALSE,FALSE,Willy Fetzer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,34
FALSE,FALSE,Gene Good,1,119,4,18,0,0,0,0,2,0.151260504201681,0.151260504201681,0,0,0,0,0,18,0,1906,35
FALSE,FALSE,Gus Hetling,1,7,0,1,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0,1,0,1906,36
FALSE,FALSE,Harry Huston,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,37
FALSE,FALSE,Ducky Holmes,1,27,2,5,0,0,0,2,0,0.185185185185185,0.185185185185185,0,0,0,0,0,5,0,1906,38
FALSE,FALSE,Frank Jude,1,308,31,64,6,4,1,31,7,0.207792207792208,0.262987012987013,0,0,0,0,0,81,0,1906,39
FALSE,FALSE,Tom Walsh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,40
FALSE,FALSE,Jack Schulte,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,41
FALSE,FALSE,Chet Spencer,1,27,1,4,1,0,0,0,0,0.148148148148148,0.185185185185185,0,0,0,0,0,5,0,1906,42
FALSE,FALSE,Allie Strobel,2,336,29,66,10,3,1,26,2,0.196428571428571,0.25297619047619,0,0,0,0,0,85,0,1906,43
FALSE,FALSE,Red Morgan,1,307,20,66,6,3,1,21,7,0.214983713355049,0.263843648208469,0,0,0,0,0,81,0,1906,44
FALSE,FALSE,Joe McCarthy,2,39,3,9,2,0,0,2,0,0.230769230769231,0.282051282051282,0,0,0,0,0,11,0,1906,45
FALSE,FALSE,Phil Reardon,1,14,0,1,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,0,0,0,1,0,1906,46
FALSE,FALSE,Lee Quillin,2,160,18,32,5,0,0,14,9,0.2,0.23125,0,0,0,0,0,37,0,1907,47
FALSE,FALSE,Nig Perrine,1,146,13,25,4,1,0,15,10,0.171232876712329,0.212328767123288,0,0,0,0,0,31,0,1907,48
FALSE,FALSE,Bob Peterson,2,131,11,25,1,1,1,9,1,0.190839694656489,0.236641221374046,0,0,0,0,0,31,0,1907,49
FALSE,FALSE,Monty Pfyl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,50
FALSE,FALSE,Jess Orndorff,1,17,0,2,0,0,0,0,0,0.117647058823529,0.117647058823529,0,0,0,0,0,2,0,1907,51
FALSE,FALSE,Bill McCarthy,2,11,1,1,0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0,1,0,1907,52
FALSE,FALSE,Ed McLane,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,53
FALSE,FALSE,Joe Nealon,2,937,111,240,31,20,3,130,26,0.256136606189968,0.341515474919957,0,0,0,0,0,320,0,1907,54
FALSE,FALSE,Pete Noonan,3,479,40,98,11,7,4,38,5,0.204592901878914,0.281837160751566,0,0,0,0,0,135,0,1907,55
FALSE,FALSE,Howard Wakefield,3,274,24,68,11,2,1,25,6,0.248175182481752,0.313868613138686,0,0,0,0,0,86,0,1907,56
FALSE,FALSE,Oscar Westerberg,1,6,0,2,0,0,0,1,0,0.333333333333333,0.333333333333333,0,0,0,0,0,2,0,1907,57
FALSE,FALSE,Buck Hopkins,1,44,7,6,3,0,0,3,2,0.136363636363636,0.204545454545455,0,0,0,0,0,9,0,1907,58
FALSE,FALSE,Pete Lister,1,65,5,18,2,0,0,4,2,0.276923076923077,0.307692307692308,0,0,0,0,0,20,0,1907,59
FALSE,FALSE,Joe Knotts,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907,60
FALSE,FALSE,Billy Kelsey,1,5,1,2,0,0,0,0,0,0.4,0.4,0,0,0,0,0,2,0,1907,61
FALSE,FALSE,Kid Butler,1,59,4,13,2,0,0,6,1,0.220338983050847,0.254237288135593,0,0,0,0,0,15,0,1907,62
FALSE,FALSE,Rudy Baerwald,1,52,4,11,2,1,0,3,4,0.211538461538462,0.288461538461538,0,0,0,0,0,15,0,1907,63
FALSE,FALSE,Forrest Crawford,2,167,8,35,3,1,0,14,1,0.209580838323353,0.239520958083832,0,0,0,0,0,40,0,1907,64
FALSE,FALSE,Marc Campbell,1,4,0,1,0,0,0,1,0,0.25,0.25,0,0,0,0,0,1,0,1907,65
FALSE,FALSE,Harry Curtis,1,9,2,2,0,0,0,1,2,0.222222222222222,0.222222222222222,0,0,0,0,0,2,0,1907,66
FALSE,FALSE,Homer Davidson,1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1908,67
FALSE,FALSE,Mike Donovan,2,21,2,5,1,0,0,2,0,0.238095238095238,0.285714285714286,0,0,0,0,0,6,0,1908,68
FALSE,FALSE,Walter Carlisle,1,10,0,1,0,0,0,0,1,0.1,0.1,0,0,0,0,0,1,0,1908,69
FALSE,FALSE,Dick Bayless,1,71,7,16,1,0,1,3,0,0.225352112676056,0.28169014084507,0,0,0,0,0,20,0,1908,70
FALSE,FALSE,Jim Ball,2,51,4,7,2,0,0,3,0,0.137254901960784,0.176470588235294,0,0,0,0,0,9,0,1908,71
FALSE,FALSE,Phil Lewis,4,1775,146,429,33,13,4,130,55,0.24169014084507,0.28169014084507,0,0,0,0,0,500,0,1908,72
FALSE,FALSE,Art Hoelskoetter,4,952,59,225,21,8,2,53,9,0.236344537815126,0.281512605042017,0,0,0,0,0,268,0,1908,73
FALSE,FALSE,Jack Hoey,3,500,39,116,10,5,0,35,13,0.232,0.272,0,0,0,0,0,136,0,1908,74
FALSE,FALSE,Jim Kane,1,145,16,35,3,3,0,22,5,0.241379310344828,0.303448275862069,0,0,0,0,0,44,0,1908,75
FALSE,FALSE,Charlie Johnson,1,16,2,4,0,1,0,2,0,0.25,0.375,0,0,0,0,0,6,0,1908,76
FALSE,FALSE,Jack Hannifin,3,439,50,94,13,6,3,40,14,0.214123006833713,0.291571753986333,0,0,0,0,0,128,0,1908,77
FALSE,FALSE,Walt Thomas,1,13,2,2,0,0,0,1,2,0.153846153846154,0.153846153846154,0,0,0,0,0,2,0,1908,78
FALSE,FALSE,Shag Shaughnessy,2,32,2,9,0,0,0,1,3,0.28125,0.28125,0,0,0,0,0,9,0,1908,79
FALSE,FALSE,Hunky Shaw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908,80
FALSE,FALSE,Rabbit Nill,5,963,116,204,23,9,3,77,36,0.21183800623053,0.263759086188993,0,0,0,0,0,254,0,1908,81
FALSE,FALSE,Ralph McLaurin,1,22,2,5,0,0,0,0,0,0.227272727272727,0.227272727272727,0,0,0,0,0,5,0,1908,82
FALSE,FALSE,Bill McGilvray,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908,83
FALSE,FALSE,Bill Ludwig,1,187,15,34,2,2,0,8,3,0.181818181818182,0.213903743315508,0,0,0,0,0,40,0,1908,84
FALSE,FALSE,Frank Manush,1,77,6,12,2,1,0,0,2,0.155844155844156,0.207792207792208,0,0,0,0,0,16,0,1908,85
FALSE,FALSE,Patsy O'Rourke,1,164,8,32,4,2,0,16,2,0.195121951219512,0.24390243902439,0,0,0,0,0,40,0,1908,86
FALSE,FALSE,Queenie O'Rourke,1,108,5,25,1,0,0,3,4,0.231481481481481,0.240740740740741,0,0,0,0,0,26,0,1908,87
FALSE,FALSE,Harry Ostdiek,2,21,1,3,0,1,0,3,1,0.142857142857143,0.238095238095238,0,0,0,0,0,5,0,1908,88
FALSE,FALSE,Harry Pattee,1,264,19,57,5,2,0,9,24,0.215909090909091,0.25,0,0,0,0,0,66,0,1908,89
FALSE,FALSE,Clay Perry,1,17,0,2,0,0,0,0,0,0.117647058823529,0.117647058823529,0,0,0,0,0,2,0,1908,90
FALSE,FALSE,Clare Patterson,1,8,0,1,0,0,0,1,0,0.125,0.125,0,0,0,0,0,1,0,1909,91
FALSE,FALSE,Si Pauxtis,1,8,2,1,0,0,0,0,0,0.125,0.125,0,0,0,0,0,1,0,1909,92
FALSE,FALSE,Bunny Pearce,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,93
FALSE,FALSE,Fred Osborn,3,907,98,228,25,16,2,72,26,0.251378169790518,0.320837927232635,0,0,0,0,0,291,0,1909,94
FALSE,FALSE,Tom Raftery,1,32,6,7,2,1,0,0,1,0.21875,0.34375,0,0,0,0,0,11,0,1909,95
FALSE,FALSE,Harry Redmond,1,19,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1909,96
FALSE,FALSE,Barney Reilly,1,25,3,5,0,0,0,3,2,0.2,0.2,0,0,0,0,0,5,0,1909,97
FALSE,FALSE,Duke Reilley,1,62,10,13,0,0,0,0,5,0.209677419354839,0.209677419354839,0,0,0,0,0,13,0,1909,98
FALSE,FALSE,Claude Rossman,5,1848,175,523,80,26,3,238,49,0.283008658008658,0.359307359307359,0,0,0,0,0,664,0,1909,99
FALSE,FALSE,Milo Netzel,1,37,2,7,1,0,0,3,1,0.189189189189189,0.216216216216216,0,0,0,0,0,8,0,1909,100
FALSE,FALSE,Howard Murphy,1,60,3,12,0,0,0,3,1,0.2,0.2,0,0,0,0,0,12,0,1909,101
FALSE,FALSE,Bill Moriarty,1,20,1,4,1,0,0,1,2,0.2,0.25,0,0,0,0,0,5,0,1909,102
FALSE,FALSE,Lee Meyer,1,23,1,3,0,0,0,0,0,0.130434782608696,0.130434782608696,0,0,0,0,0,3,0,1909,103
FALSE,FALSE,Bill Shipke,4,552,59,110,11,10,1,29,21,0.199275362318841,0.260869565217391,0,0,0,0,0,144,0,1909,104
FALSE,FALSE,Jimmy Sebring,5,1411,178,368,51,32,6,168,52,0.260807937632884,0.355067328136074,0,0,0,0,0,501,0,1909,105
FALSE,FALSE,Joe Stanley,7,694,77,148,15,10,2,76,20,0.213256484149856,0.272334293948127,0,0,0,0,0,189,0,1909,106
FALSE,FALSE,Wib Smith,1,42,3,8,0,0,0,2,0,0.19047619047619,0.19047619047619,0,0,0,0,0,8,0,1909,107
FALSE,FALSE,Hosea Siner,1,23,1,3,0,0,0,1,0,0.130434782608696,0.130434782608696,0,0,0,0,0,3,0,1909,108
FALSE,FALSE,Eddie Tiemeyer,3,19,5,5,1,0,0,0,0,0.263157894736842,0.315789473684211,0,0,0,0,0,6,0,1909,109
FALSE,FALSE,Alan Storke,4,863,68,225,22,11,2,74,17,0.26071842410197,0.318655851680185,0,0,0,0,0,275,0,1909,110
FALSE,FALSE,Denny Sullivan,4,925,106,221,25,8,1,51,20,0.238918918918919,0.286486486486487,0,0,0,0,0,265,0,1909,111
FALSE,FALSE,Fred Stem,2,317,22,71,2,4,0,14,6,0.22397476340694,0.255520504731861,0,0,0,0,0,81,0,1909,112
FALSE,FALSE,Jack Wanner,1,8,0,1,0,0,0,0,1,0.125,0.125,0,0,0,0,0,1,0,1909,113
FALSE,FALSE,Al Froehlich,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,114
FALSE,FALSE,Bert James,1,21,1,6,0,0,0,0,1,0.285714285714286,0.285714285714286,0,0,0,0,0,6,0,1909,115
FALSE,FALSE,Paul Howard,1,15,2,3,1,0,0,2,0,0.2,0.266666666666667,0,0,0,0,0,4,0,1909,116
FALSE,FALSE,Ed Larkin,1,6,0,1,0,0,0,1,0,0.166666666666667,0.166666666666667,0,0,0,0,0,1,0,1909,117
FALSE,FALSE,Speed Kelly,1,42,3,6,2,1,0,1,1,0.142857142857143,0.238095238095238,0,0,0,0,0,10,0,1909,118
FALSE,FALSE,Jul Kustus,1,173,12,25,5,0,1,11,9,0.144508670520231,0.190751445086705,0,0,0,0,0,33,0,1909,119
FALSE,FALSE,Scotty Barr,2,107,9,12,3,0,0,2,2,0.11214953271028,0.14018691588785,0,0,0,0,0,15,0,1909,120
FALSE,FALSE,Chick Autry,2,257,22,50,6,0,0,17,6,0.194552529182879,0.217898832684825,0,0,0,0,0,56,0,1909,121
FALSE,FALSE,Coonie Blank,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,122
FALSE,FALSE,Tom Catterson,2,86,5,17,1,1,1,3,0,0.197674418604651,0.267441860465116,0,0,0,0,0,23,0,1909,123
FALSE,FALSE,Wally Clement,2,379,35,96,11,4,0,18,13,0.253298153034301,0.303430079155673,0,0,0,0,0,115,0,1909,124
FALSE,FALSE,Red Downey,1,78,7,20,1,0,0,8,4,0.256410256410256,0.269230769230769,0,0,0,0,0,21,0,1909,125
FALSE,FALSE,Kid Durbin,3,51,6,14,1,0,0,0,0,0.274509803921569,0.294117647058824,0,0,0,0,0,15,0,1909,126
FALSE,FALSE,Joe Dunn,2,89,4,15,4,0,0,7,0,0.168539325842697,0.213483146067416,0,0,0,0,0,19,0,1909,127
FALSE,FALSE,Charlie Enwright,1,7,1,1,0,0,0,1,0,0.142857142857143,0.142857142857143,0,0,0,0,0,1,0,1909,128
FALSE,FALSE,Babe Danzig,1,13,0,2,0,0,0,0,0,0.153846153846154,0.153846153846154,0,0,0,0,0,2,0,1909,129
FALSE,FALSE,Bill Dam,1,2,1,1,1,0,0,0,0,0.5,1,0,0,0,0,0,2,0,1909,130
FALSE,FALSE,Walt Devoy,1,69,7,17,3,1,0,8,4,0.246376811594203,0.318840579710145,0,0,0,0,0,22,0,1909,131
FALSE,FALSE,Pat Donahue,3,308,24,65,6,1,3,35,3,0.211038961038961,0.266233766233766,0,0,0,0,0,82,0,1910,132
FALSE,FALSE,Willis Cole,2,245,23,53,9,4,0,18,3,0.216326530612245,0.285714285714286,0,0,0,0,0,70,0,1910,133
FALSE,FALSE,Bill Cooney,2,22,2,6,0,0,0,1,0,0.272727272727273,0.272727272727273,0,0,0,0,0,6,0,1910,134
FALSE,FALSE,Ned Crompton,2,65,7,10,2,1,0,2,1,0.153846153846154,0.215384615384615,0,0,0,0,0,14,0,1910,135
FALSE,FALSE,Tom Crooke,2,28,3,6,2,0,0,3,1,0.214285714285714,0.285714285714286,0,0,0,0,0,8,0,1910,136
FALSE,FALSE,Mickey Corcoran,1,46,3,10,3,0,0,7,0,0.217391304347826,0.282608695652174,0,0,0,0,0,13,0,1910,137
FALSE,FALSE,Chappy Charles,3,851,76,186,23,7,1,51,24,0.218566392479436,0.265569917743831,0,0,0,0,0,226,0,1910,138
FALSE,FALSE,Frank Betcher,1,89,7,18,2,0,0,6,1,0.202247191011236,0.224719101123595,0,0,0,0,0,20,0,1910,139
FALSE,FALSE,Red Bowser,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,140
FALSE,FALSE,Joe Burg,1,46,7,15,0,1,0,10,5,0.326086956521739,0.369565217391304,0,0,0,0,0,17,0,1910,141
FALSE,FALSE,Ody Abbott,1,70,2,13,2,1,0,6,3,0.185714285714286,0.242857142857143,0,0,0,0,0,17,0,1910,142
