InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
TRUE,TRUE,Rickey Henderson,25,10961,2295,3055,510,66,297,1115,1406,.279,.419,10,4588,10,2003,henderi01
TRUE,TRUE,Eddie Collins,25,9949,1821,3315,438,187,47,1300,741,.333,.429,0,4268,29,1930,collied01
TRUE,TRUE,Carlton Fisk,24,8756,1276,2356,421,47,376,1330,128,.269,.457,11,3999,10,1993,fiskca01
TRUE,TRUE,Pete Rose,24,14053,2165,4256,746,135,160,1314,198,.303,.409,17,5752,16,1986,rosepe01
TRUE,TRUE,Ty Cobb,24,11436,2247,4189,724,295,117,1944,896,.366,.512,0,5854,31,1928,cobbty01
TRUE,TRUE,Tim Raines,23,8872,1571,2605,430,113,170,980,808,.294,.425,7,3771,4,2002,raineti01
TRUE,TRUE,Tony Perez,23,9778,1272,2732,505,79,379,1652,49,.279,.463,7,4532,4,1986,perezto01
TRUE,TRUE,Carl Yastrzemski,23,11988,1816,3419,646,59,452,1844,168,.285,.462,18,5539,16,1983,yastrca01
TRUE,TRUE,Brooks Robinson,23,10654,1232,2848,482,68,268,1357,28,.267,.401,15,4270,32,1977,robinbr01
TRUE,TRUE,Hank Aaron,23,12364,2174,3771,624,98,755,2297,240,.305,.555,21,6856,16,1976,aaronha01
TRUE,TRUE,Rogers Hornsby,23,8173,1579,2930,541,169,301,1584,135,.358,.577,0,4712,27,1937,hornsro01
TRUE,TRUE,Rabbit Maranville,23,10078,1255,2605,380,177,28,884,291,.258,.340,0,3423,7,1935,maranra01
TRUE,TRUE,Alex Rodriguez,22,10566,2021,3115,548,31,696,2086,329,.295,.550,14,5813,31,2016,rodrial01
TRUE,TRUE,Jim Thome,22,8422,1583,2328,451,26,612,1699,19,.276,.554,5,4667,6,2012,thomeji01
TRUE,TRUE,Ken Griffey,22,9801,1662,2781,524,38,630,1836,184,.284,.538,13,5271,29,2010,griffke02
TRUE,TRUE,Barry Bonds,22,9847,2227,2935,601,77,762,1996,514,.298,.607,14,5976,47,2007,bondsba01
TRUE,TRUE,Dave Winfield,22,11003,1669,3110,540,88,465,1833,223,.283,.475,12,5221,20,1995,winfida01
TRUE,TRUE,Joe Morgan,22,9277,1650,2517,449,96,268,1133,689,.271,.427,10,3962,17,1984,morgajo02
TRUE,TRUE,Willie McCovey,22,8197,1229,2211,353,46,521,1555,26,.270,.515,6,4219,10,1980,mccovwi01
TRUE,TRUE,Harmon Killebrew,22,8147,1283,2086,290,24,573,1584,19,.256,.509,11,4143,8,1975,killeha01
TRUE,TRUE,Al Kaline,22,10116,1622,3007,498,75,399,1583,137,.297,.480,15,4852,20,1974,kalinal01
TRUE,TRUE,Willie Mays,22,10881,2062,3283,523,140,660,1903,338,.302,.557,21,6066,32,1973,mayswi01
TRUE,TRUE,Stan Musial,22,10972,1949,3630,725,177,475,1951,78,.331,.559,20,6134,34,1963,musiast01
TRUE,TRUE,Mel Ott,22,9456,1859,2876,488,72,511,1860,89,.304,.533,12,5041,11,1947,ottme01
TRUE,TRUE,Babe Ruth,22,8398,2174,2873,506,136,714,2217,123,.342,.690,2,5793,33,1935,ruthba01
TRUE,TRUE,Tris Speaker,22,10195,1882,3514,792,222,117,1529,432,.345,.500,0,5101,27,1928,speaktr01
TRUE,TRUE,Miguel Cabrera,21,10356,1551,3174,627,17,511,1881,40,.306,.518,12,5368,16,2023,cabremi01
TRUE,TRUE,Adrian Beltre,21,11068,1524,3166,636,38,477,1707,121,.286,.480,4,5309,12,2018,beltrad01
TRUE,TRUE,Ivan Rodriguez,21,9592,1354,2844,572,51,311,1332,127,.296,.464,14,4451,29,2011,rodriiv01
TRUE,TRUE,Cal Ripken,21,11551,1647,3184,603,44,431,1695,36,.276,.447,19,5168,29,2001,ripkeca01
TRUE,TRUE,Paul Molitor,21,10835,1782,3319,605,114,234,1307,504,.306,.448,7,4854,13,1998,molitpa01
TRUE,TRUE,Eddie Murray,21,11336,1627,3255,560,35,504,1917,110,.287,.476,8,5397,9,1997,murraed02
TRUE,TRUE,Andre Dawson,21,9927,1373,2774,503,98,438,1591,314,.279,.482,8,4787,20,1996,dawsoan01
TRUE,TRUE,George Brett,21,10349,1583,3154,665,137,317,1596,201,.305,.487,13,5044,14,1993,brettge01
